C3,C4,Timestamp
-151438.12017895226,-121012.38918452135,1747830154.553513
-151441.249423176,-121011.69628044324,1747830154.560512
-151440.75768479798,-121012.92562638827,1747830154.569522
-151439.237766175,-121013.68558569976,1747830154.576565
-151443.26108017698,-121013.32795778847,1747830154.585569
-151434.45449286158,-121013.10444034392,1747830154.594601
-151444.0880947218,-121012.63505371036,1747830154.602596
-151429.91708873716,-121012.7691641771,1747830154.610588
-151447.7537808125,-121015.563132234,1747830154.618619
-151426.3408096243,-121013.14914383282,1747830154.625644
-151445.6974203226,-121013.14914383282,1747830154.635625
-151422.00457119997,-121011.98685312115,1747830154.642649
-151449.02783024643,-121016.92658864577,1747830154.648721
-151425.737312524,-121018.15593459082,1747830154.656713
-151450.32423142483,-121019.7652601916,1747830154.664831
-151423.45743458957,-121017.28421655706,1747830154.673655
-151447.0385249899,-121018.31239680201,1747830154.681669
-151420.59641129928,-121014.89257990035,1747830154.689662
-151440.26594641997,-121014.15497233332,1747830154.69868
-151414.76260599645,-121008.90231238632,1747830154.705703
-151434.5886033283,-121011.98685312115,1747830154.712696
-151420.86463223275,-121014.49024850015,1747830154.72072
-151433.91805099466,-121015.67489095627,1747830154.72875
-151422.87628923374,-121015.60783572291,1747830154.736758
-151430.20766141507,-121016.6136642234,1747830154.745792
-151423.30097237838,-121015.04904211152,1747830154.753827
-151422.42925434464,-121013.77499267757,1747830154.762811
-151421.91516422215,-121012.12096358789,1747830154.769898
-151417.6906845201,-121013.64088221085,1747830154.77678
-151424.59737355678,-121013.2161990662,1747830154.784806
-151412.77330073994,-121013.14914383282,1747830154.792885
-151423.70330377857,-121011.1151350874,1747830154.800835
-151409.28642860492,-121013.37266127738,1747830154.808969
-151425.42438810164,-121011.83039090996,1747830154.816863
-151402.1338703792,-121009.12582983087,1747830154.824931
-151425.40203635718,-121011.20454206521,1747830154.833909
-151400.41278605614,-121008.96936761969,1747830154.841996
-151423.47978633404,-121008.58938796395,1747830154.851024
-151398.244666844,-121006.9130071298,1747830154.857016
-151424.82089100135,-121009.75167867562,1747830154.864013
-151399.85399244475,-121008.07529784147,1747830154.872994
-151422.3845508557,-121008.8129054085,1747830154.883123
-151398.44583254406,-121006.3095100295,1747830154.890104
-151416.17076589714,-121005.05781234,1747830154.898171
-151396.00949239844,-121002.88969312784,1747830154.905088
-151413.75677749596,-121006.35421351841,1747830154.913131
-151397.99879765496,-121004.29785302853,1747830154.922065
-151407.02890241492,-121004.34255651744,1747830154.946182
-151398.64699824416,-121003.44848673923,1747830154.953193
-151400.92687617862,-121002.35325126091,1747830154.960233
-151397.70822497705,-121000.29689077103,1747830154.967169
-151397.66352148814,-121002.35325126091,1747830154.974221
-151398.490536033,-120998.01701283659,1747830154.980197
-151389.3263208063,-120997.32410875848,1747830154.987258
-151399.11638487774,-120996.2065215357,1747830154.994186
-151386.7782219384,-120997.79349539203,1747830155.000243
-151402.91618143514,-120998.39699249233,1747830155.007215
-151381.9278933916,-120995.80419013552,1747830155.014271
-151402.2903325904,-120996.54179770254,1747830155.021221
-151377.99398636748,-120994.06075406799,1747830155.027271
-151401.66448374564,-120995.17834129077,1747830155.034259
