trial_number,label,channel3_mean,channel3_std,channel3_var,channel3_min,channel3_max,channel3_range,channel3_skewness,channel3_kurtosis,channel3_zero_crossing_rate,channel3_signal_energy,channel3_delta_power,channel3_theta_power,channel3_alpha_power,channel3_mu_power,channel3_beta_power,channel3_gamma_power,channel4_mean,channel4_std,channel4_var,channel4_min,channel4_max,channel4_range,channel4_skewness,channel4_kurtosis,channel4_zero_crossing_rate,channel4_signal_energy,channel4_delta_power,channel4_theta_power,channel4_alpha_power,channel4_mu_power,channel4_beta_power,channel4_gamma_power
70,0,-2252.239922018002,153.00532260833475,23410.62874648059,-2910.2295959254443,-1670.9532733279266,1239.2763225975177,-0.787759817314313,2.166800700418534,0.0,1905902240.359222,21121533449.269806,11981876.89406261,484135.02479929064,369443.0398697686,55651.97014489931,59106.166265902204,1772.890912398582,1040.5451301531712,1082734.16788548,-1030.945612808864,2968.586648824301,3999.532261633165,-1.1310168409430414,0.38078263394429346,0.00267379679144385,1580477756.826458,37800398072.80339,120272595.20659618,4490836.405336288,3650249.3691390976,140058.59615484843,13084.689658196916
71,0,-1918.9666633125037,891.4838384506997,794743.4342187933,-3587.9258845393233,-316.26136086484803,3271.6645236744753,0.42330377983279993,-1.2848318719035128,0.0,1674464006.9321957,24447627727.744316,6904982.241196707,5181159.84048235,4929860.22578892,4359218.434019974,4905411.9656808935,883.785074425413,378.83413206872297,143515.29962026264,261.3627155097229,1582.1129548056724,1320.7502392959495,0.10914228520183279,-1.1508119115522704,0.0,345797167.66662586,3679252725.2354183,3617859.3082891484,389061.6659237214,366148.54720504704,218706.45622812293,251608.403823357
72,0,-100.6294328126882,369.0533861065908,136200.4017967404,-1192.2869034862665,441.6299425122803,1633.9168459985467,-1.1972087115112802,0.7372151218323273,0.016042780748663103,54726180.01980895,387515762.9284685,13709492.353387343,249261.35558456983,276129.70998638525,326814.660384778,738898.1565452106,-40.615324257445934,128.85938301221105,16604.740590287704,-179.9022590859272,260.78767254519653,440.6899316311237,0.8244274792955822,-0.6712695175409453,0.00267379679144385,6827125.087904619,95848472.34625642,202230.34735535865,70685.30278950563,64038.992166478296,48358.39956079025,30006.735447132833
73,0,-4588.631122961945,2058.5038537388637,4237438.115857753,-7638.566228794052,-1199.400808011772,6439.16542078228,0.05162565273472815,-1.3721816839204861,0.0,9459572163.228815,110386778769.6945,25113576.085799053,2725733.9520470006,2257724.6785702957,1500717.0283388,2259873.3250112846,178.64093928088263,238.39930175975587,56834.22707953914,-135.32448020574202,645.7239810585883,781.0484612643303,0.3828979205764578,-1.2098120196325768,0.00267379679144385,33191307.787743982,247315544.66632602,1883911.4918534653,32251.054200571194,40580.21547465513,56211.56052804442,92584.83155828918
74,0,-4946.218434633718,1964.0947911278713,3857668.348535636,-7634.204047112692,-775.2108777914877,6858.993169321204,0.2716313204844151,-1.1959688827777757,0.0,10592706686.71563,129976448257.88847,25456709.10860983,479217.77021381626,425442.7209351871,40205.10523607808,3635.1419871237495,774.5486260019183,70.5827052933898,4981.918286533515,602.5797582061131,934.7071668808322,332.12740867471916,-0.4542249592609601,-0.2798473584707497,0.0,226235402.13066941,2698307499.2266793,66948.95984573093,12329.817080970051,17673.350998987684,10817.715312439215,1930.4981086633613
75,0,6552.123370972736,5968.024413901671,35617315.40492639,-1020.2257856274956,18053.517335844663,19073.74312147216,0.7492276878659961,-0.7446195074553676,0.00267379679144385,29376815891.4417,159999205222.92114,1611380722.288038,87971178.97326177,67557934.26186883,1023501.2748127602,54732.34573288925,940.5303702262603,245.00423649011947,60027.07589810639,162.29060469701466,1180.4159519133243,1018.1253472163096,-1.6347770938337742,1.619471625545211,0.0,353289545.5028037,5615512055.220943,6038325.918665481,146637.47118991922,163169.50167222926,30543.648720882167,4346.044441954496
76,0,13321.480606039526,1077.2209102120885,1160404.8893981604,12214.686464502562,16238.928387911394,4024.241923408832,1.000418147420126,0.03902010115849386,0.0,66804721659.505516,661862588255.9706,8331386.8164780205,51086.56697154382,40735.342552466864,3639.1614125330852,1169.849790219274,-2417.2111808676486,1077.5071852657693,1161021.734299361,-4021.0911188301206,146.44176271368065,4167.5328815438015,0.5898181975646012,-0.3012597671767021,0.00267379679144385,2619470428.5768886,55639911414.91445,250645857.94886208,6854184.942994607,5290779.253298926,53519.53559650959,3720.619571934942
77,0,13057.187452326758,8442.31333579579,71272654.45975544,-7308.094821412526,20406.983753222925,27715.078574635452,-1.1784094646086376,-0.04565011854888246,0.00267379679144385,90419286685.7331,2057529892044.1138,6997636957.297557,78662389.26214062,59189435.694468245,3705099.457725173,234456.3061072734,-573.4760365819398,492.70125217909805,242754.52389885118,-1599.389677122835,65.21086987191131,1664.6005469947463,-0.4749125297056821,-1.033561115685469,0.00267379679144385,213789353.8737855,1691307171.3168213,1791885.5261555696,31973.23269507638,24738.88675625171,3281.9994583091157,1352.2720320280396
78,0,-12269.46894848017,1549.1655430770866,2399913.8798573245,-13965.422753370727,-7408.959281573771,6556.463471796957,0.9677914805998252,0.31653462040576974,0.0,57199478526.933586,856035786885.6355,55613426.12588323,12757168.382418515,12633820.089607447,11526610.251480954,10961387.033969017,205.71804139531275,48.288549809178676,2331.7840426735297,66.62070241957588,272.2650635047238,205.64436108514792,-1.2899648821564935,0.5552983181918583,0.0,16699734.527725726,244253244.1374856,78028.28624924594,14321.564311436183,15082.3715132088,15971.187160018657,6710.777534085876
79,0,-5481.013390356829,2392.1449945901636,5722357.675142773,-10093.22023994896,-1875.2250953247355,8217.995144624225,-0.2943993729417496,-1.1335115695047144,0.0,13375685682.194702,132345566068.15889,42553197.95297787,931305.8814731144,743376.957248637,39681.10512017965,5867.971506806098,185.9811083596501,23.68858882079825,561.1492403208478,150.09403670011457,231.2896878312804,81.19565113116582,0.3877828436099219,-1.0927963912104928,0.0,13146145.59321978,144673855.02930576,18513.533569207957,2531.7996356341882,2682.5764691805757,2503.219137984779,2014.866418886477
80,0,77.35507953646989,878.2431971395209,771311.1133218474,-1857.706600062343,1159.4860780487024,3017.1926781110456,-0.544294415591765,-0.8982833505336432,0.00267379679144385,290708300.697826,2544305805.040234,6618173.325678095,230486.44482541204,172881.23135084263,9405.127849235469,1510.4618487230764,59.75125590380389,76.8025050465691,5898.624781428271,-124.75518563243044,150.0355380791371,274.7907237115675,-0.7434951466155556,-0.5938858133832374,0.00267379679144385,3541345.173952789,44567157.36492593,93052.2898564482,5210.921844022064,5737.298511330189,982.2689270524529,471.9873551845921
81,0,667.5182584994013,557.4121187254717,310708.2701020194,-635.7292056604306,1535.1387126422967,2170.867918302727,-0.963307931681517,-0.513827033946685,0.00267379679144385,282852046.92900276,5009775778.900523,12666596.197939321,481495.3962656439,372083.9462328365,60347.48296655542,44518.232383792725,-620.7106876663004,346.7758971564413,120253.52284865476,-1309.7257389867889,-126.63015017602896,1183.0955888107599,-0.32827071718145534,-1.120631624456917,0.0,189070194.9563031,1792145804.7768378,968415.984135778,12090.512826604046,10044.314978617549,3701.6022518084133,765.7780791227084
82,0,-2084.273910938372,756.3008513484438,571990.9777503808,-3018.9789542521003,-643.2146603448878,2375.7642939072125,0.3290373487667029,-1.3033793199715122,0.0,1838654578.8747,23737241074.593834,1546224.2204892517,208828.27484619422,162572.77174657278,141304.89613385976,381833.69569285604,-1274.2264169717464,845.3761058400198,714660.7603252365,-2052.854474865874,1067.8425819728252,3120.6970568386996,1.2820025038416716,0.48270681078987776,0.00267379679144385,874529332.0406756,19573026014.32546,7641831.174454052,151935.21612889256,118151.47795608702,2610.364886958347,1053.7970017192536
83,0,-2850.5460123335606,193.47861989980942,37433.97635833493,-3613.4400953318222,-2438.921534814098,1174.5185605177244,-0.24568153992281747,-0.13325802784430518,0.0,3052979407.7511234,34724734395.25569,6267278.103455269,6404167.53995314,6246208.007619876,5566643.269699073,6962229.894738754,1985.9951486594737,486.56350332469106,236744.04276759666,1091.821380746454,2824.651578837058,1732.830198090604,0.176440637188784,-1.2249377863671376,0.0,1563664369.201694,22468702053.605698,16232833.167714102,583081.6650583715,458280.5353354748,346918.1314869355,383645.6503805617
84,0,-917.829604639002,877.7971345950588,770527.8095032957,-2425.6255323813048,305.3223965146947,2730.947928895999,-0.24538978197821826,-1.3394856634160888,0.013368983957219251,603239183.2530007,5423978126.438741,19034049.76292945,1568016.5364999103,1358267.8024101874,892472.817555451,646533.2450823913,597.0873882870854,348.3257948488837,121330.8593571066,52.775087437418705,1260.3685101848737,1207.593422747455,0.14271602581435058,-1.2137824259545225,0.0,178713734.0196161,1857178455.7238047,1183948.2286759864,143925.72118229294,112247.17284305037,26476.506106783334,22173.85824350488
