trial_number,label,channel3_mean,channel3_std,channel3_var,channel3_min,channel3_max,channel3_range,channel3_skewness,channel3_kurtosis,channel3_zero_crossing_rate,channel3_signal_energy,channel3_delta_power,channel3_theta_power,channel3_alpha_power,channel3_mu_power,channel3_beta_power,channel3_gamma_power,channel4_mean,channel4_std,channel4_var,channel4_min,channel4_max,channel4_range,channel4_skewness,channel4_kurtosis,channel4_zero_crossing_rate,channel4_signal_energy,channel4_delta_power,channel4_theta_power,channel4_alpha_power,channel4_mu_power,channel4_beta_power,channel4_gamma_power
10,1,1297.1590172054453,2780.888251400696,7733339.466778421,-47350.71777036034,12986.432620184618,60337.15039054496,-11.269046906237072,181.94285595344547,0.009408602150537635,7005474971.125688,16372164046.846268,6861182.799929027,7688692.596931408,6887352.401445144,3329942.038337701,2221648.496709469,-349.88815602034464,2785.5174933363733,7759107.705682951,-11288.141798320352,51988.06380472805,63276.2056030484,14.932690983817174,256.04298111941233,0.020161290322580645,5863857893.990264,2467204615.547576,5402588.462594495,2158514.98664689,1904332.3109418966,199602.0456083013,137697.85907567525
11,1,19.28566445210048,95.38178915890914,9097.685703154597,-681.8661884895173,344.93397874872426,1026.8001672382416,-1.436098900634269,11.000393354477863,0.0520694259012016,7092747.294828693,60935145.477094926,10792747.301669767,8298430.642510726,6664516.911962449,2401144.2211132497,2721419.3180673523,-13.98226031651402,151.71185096703812,23016.485723844784,-305.2106057329138,544.4457161108508,849.6563218437645,1.9550183489732191,4.377360096627461,0.0774365821094793,17385780.006225258,68236230.79877107,84807386.16956873,5414344.266620175,4200670.571197489,381687.85851840564,409801.40826432494
12,1,5.649338596333919,75.0703147924995,5635.552163044969,-408.3531018324138,253.26464471171496,661.6177465441287,-0.48887917093065963,1.296397708932422,0.014666666666666666,4250600.392215747,87861963.86003844,288959.69861044333,4309734.652865593,3316917.1673884788,230741.877656162,125221.33040291061,-180.107998667286,455.38772487771325,207377.97996929983,-881.5546477633179,504.4182897634382,1385.9729375267561,-0.05488001622882037,-1.4166728407589326,0.005333333333333333,179862653.36492622,2322047782.824524,83572721.4586425,3579564.006210583,2733283.0915869023,126615.04664348687,30974.430096647957
13,1,-34.008582149791756,90.6166325715395,8211.374098605393,-528.012950313861,1019.7983606725976,1547.8113109864585,4.540717578582673,55.14836963314206,0.058823529411764705,7007232.403316507,52538052.763411954,2817803.8974490054,9311056.724552771,8812863.557888223,4119384.506799346,4303939.26403434,-276.5557233277032,465.3682701021678,216567.6268178842,-1171.908103646878,757.454178258587,1929.3622819054651,0.3269148482940474,-0.7390454284729895,0.0066844919786096255,219201919.8025486,2149567823.8276625,170768807.86454025,14769138.543534713,13027376.74329107,557779.478702771,553853.2613407788
14,1,174.75286409753232,150.90295349439845,22771.701373332584,-12.2429977522861,475.88348222160175,488.12647997388785,0.6094899685158189,-1.266629234014975,0.007989347536617843,40036008.92760101,232315404.2730314,4022681.6477129287,4666370.640010283,3653393.3279702608,606976.9270834611,126606.546761995,1139.8583889520826,1943.3413974933053,3776575.787211233,-2402.461743628259,3828.678420180213,6231.140163808472,-0.5766377270874729,-1.0227233485991905,0.0013315579227696406,3811965553.4908285,102544918832.89127,159542093.58938965,24659240.668845993,18998778.530166615,906467.6852528139,21345.542745970073
15,1,133.47084297311184,212.96174301869365,45352.70398956012,-805.6880576401838,822.286858211263,1627.974915851447,-0.11188872576859127,0.08889771695070214,0.01740294511378849,47185875.92539436,239542549.24430037,3394627.6006274694,10853405.08751277,9413449.5890817,422094.6702875431,66060.16906610416,-777.8902794778451,631.8185054408116,399194.6238174608,-2072.4331489318097,75.1701979096585,2147.603346841468,-0.7475372525032414,-0.8871714286711194,0.00535475234270415,750218009.3105148,3380203633.5543466,27951354.65507111,35391750.55498265,33199712.6233334,3005465.058034542,107278.14875009362
16,1,-266.78429616467776,178.84024683982662,31983.833889730115,-803.6136009519228,1911.173142928608,2714.7867438805306,5.916212452656611,64.33144199771252,0.007989347536617843,77471428.62192926,466980535.6272853,27442162.805051655,33950610.860739306,33703868.058147185,42812571.0413539,45018814.82227382,68.11964913270137,168.67955091779785,28452.790897829957,-239.26872999833583,697.656657900101,936.9253878984368,1.6627523899486665,3.0732264802942355,0.014647137150466045,24852901.199340023,108263315.71430516,26162811.432631165,3528848.989584787,3146996.0456205574,1121429.179555959,889309.9207276067
17,1,-7.910597747875077,202.51996806503928,41014.337465064535,-350.8710086025703,362.9705228088571,713.8415314114275,-0.48122024216718007,-1.3307220198590801,0.006666666666666667,30807686.26634492,454448718.8178762,5990063.596676243,15744473.693661856,12269508.729210833,285847.9273170798,41377.209774227136,11.101015955080443,62.43527863580754,3898.1640183309255,-171.1618864693155,162.30394671579256,333.46583318510807,0.2698250832780397,-0.411035203094019,0.02,3016047.4301744066,47934955.10247416,3255153.8925857437,791094.5376934275,850597.5593039454,148402.9395186423,30917.376217935955
18,1,163.04274551841752,216.27173514203014,46773.46342134444,-1455.8116746606318,828.7671883457006,2284.5788630063325,-2.735126485041256,15.446169663240237,0.02406417112299465,54870587.41507087,738966757.1608549,28378291.260484144,9145231.97883544,10529396.139542865,22099643.21168699,25783759.793261506,4.108093335083694,86.66590302358982,7510.978746894274,-215.56874625800623,320.8343739758151,536.4031202338213,0.35595054726880093,1.0028555575784504,0.02807486631016043,5630835.672952537,39118200.36724382,5943058.394152191,4265300.592138729,3965942.990683274,1171957.1816266999,1052283.163389797
19,1,-1729.3292573339936,1331.1147831100927,1771866.5658142292,-5667.327181390305,1583.739455161713,7251.066636552017,-0.4645733189452357,-0.9526092173724519,0.013368983957219251,3562309792.072007,23977162430.348198,50589278.27115569,61876435.73016387,61061799.6566152,52711900.05696124,54251345.12587061,310.774066410181,301.95304759807107,91175.64295376296,-178.74366456883854,1156.6182609824752,1335.3619255513138,0.03252054746873203,-1.3085292868311986,0.0053475935828877,140441610.15354815,1530730200.8578641,129919739.27300072,5949173.322312612,5213070.883271055,2070749.8699553502,1846142.531754742
